Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-33M,,,Name:,SpdCoach 3044811,,,Firmware:,---,,,Boat ID:,---
Start Time:,01/27/2026 05:10:33,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,3044811,,,,,,,Port Starboard:,---
System of Units:,Meters/Speed,,,Firmware Version:,3.02,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,1.00,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 22B,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,33.7,0.0,00:00:48.9,00:12:15.3,0.68,00:00:00.0,0.00,39.0,20,1.7,0.0,---,---,---,---,---,---,---,---,---,---,31.9763905,120.8772791


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,33.7,0.0,00:00:48.9,00:12:15.3,0.68,00:00:00.0,0.00,39.0,20,1.7,0.0,---,---,---,---,---,---,---,---,---,---,31.9763905,120.8772791



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2.2,0.0,00:00:01.9,00:14:22.1,0.58,00:00:00.0,0.00,31.0,1,2.2,0.0,---,---,---,---,---,---,---,---,---,---,31.9763905,120.8772791
1,3.9,0.0,00:00:05.6,00:08:51.9,0.94,00:00:00.0,0.00,28.5,2,1.7,0.0,---,---,---,---,---,---,---,---,---,---,31.9763767,120.8772866
1,4.9,0.0,00:00:06.9,00:14:37.2,0.57,00:00:00.0,0.00,19.0,3,1.1,0.0,---,---,---,---,---,---,---,---,---,---,31.9763671,120.8772885
1,6.2,0.0,00:00:08.3,00:12:49.2,0.65,00:00:00.0,0.00,32.0,4,1.3,0.0,---,---,---,---,---,---,---,---,---,---,31.9763552,120.8772911
1,7.9,0.0,00:00:09.9,00:07:47.3,1.07,00:00:00.0,0.00,41.0,5,1.7,0.0,---,---,---,---,---,---,---,---,---,---,31.9763406,120.8772953
1,9.6,0.0,00:00:12.0,00:07:18.6,1.14,00:00:00.0,0.00,35.0,6,1.7,0.0,---,---,---,---,---,---,---,---,---,---,31.9763257,120.8772991
1,11.4,0.0,00:00:20.2,00:11:06.7,0.75,00:00:00.0,0.00,69.5,7,1.8,0.0,---,---,---,---,---,---,---,---,---,---,31.9763059,120.8773134
1,12.6,0.0,00:00:21.7,00:09:21.8,0.89,00:00:00.0,0.00,35.5,8,1.2,0.0,---,---,---,---,---,---,---,---,---,---,31.9762956,120.8773167
1,14.4,0.0,00:00:22.8,00:08:05.4,1.03,00:00:00.0,0.00,43.5,9,1.8,0.0,---,---,---,---,---,---,---,---,---,---,31.9762804,120.8773232
1,16.1,0.0,00:00:24.0,00:07:11.0,1.16,00:00:00.0,0.00,52.5,10,1.7,0.0,---,---,---,---,---,---,---,---,---,---,31.9762656,120.8773286
1,17.7,0.0,00:00:25.4,00:05:59.7,1.39,00:00:00.0,0.00,44.0,11,1.5,0.0,---,---,---,---,---,---,---,---,---,---,31.9762526,120.8773343
1,19.2,0.0,00:00:26.8,00:06:27.6,1.29,00:00:00.0,0.00,43.5,12,1.5,0.0,---,---,---,---,---,---,---,---,---,---,31.9762389,120.8773370
1,21.3,0.0,00:00:28.4,00:06:46.5,1.23,00:00:00.0,0.00,41.0,13,2.1,0.0,---,---,---,---,---,---,---,---,---,---,31.9762209,120.8773418
1,23.2,0.0,00:00:30.0,00:06:30.6,1.28,00:00:00.0,0.00,40.5,14,2.0,0.0,---,---,---,---,---,---,---,---,---,---,31.9762036,120.8773464
1,24.7,0.0,00:00:31.4,00:06:46.5,1.23,00:00:00.0,0.00,41.5,15,1.5,0.0,---,---,---,---,---,---,---,---,---,---,31.9761907,120.8773497
1,26.6,0.0,00:00:33.0,00:06:36.8,1.26,00:00:00.0,0.00,38.5,16,1.9,0.0,---,---,---,---,---,---,---,---,---,---,31.9761734,120.8773506
1,28.6,0.0,00:00:34.8,00:07:18.6,1.14,00:00:00.0,0.00,35.0,17,2.0,0.0,---,---,---,---,---,---,---,---,---,---,31.9761551,120.8773501
1,30.6,0.0,00:00:36.7,00:07:47.3,1.07,00:00:00.0,0.00,32.0,18,1.9,0.0,---,---,---,---,---,---,---,---,---,---,31.9761375,120.8773496
1,32.6,0.0,00:00:45.1,00:12:37.6,0.66,00:00:00.0,0.00,52.5,19,2.0,0.0,---,---,---,---,---,---,---,---,---,---,31.9761211,120.8773638
1,33.7,0.0,00:00:47.9,00:20:50.0,0.40,00:00:00.0,0.00,24.5,20,1.2,0.0,---,---,---,---,---,---,---,---,---,---,31.9761231,120.8773522
